Entity,Code,Year,Mean,Median,Gap,GapRatio
Gambia,GMB,2015,6.48556423,5.02621984481811,1.4593443851818897,0.22501425218047524
Gambia,GMB,2020,6.46606588,4.857421875,1.6086440050000004,0.24878249539270086
Georgia,GEO,1996,8.75391865,7.09020662307739,1.6637120269226093,0.19005340276067215
Georgia,GEO,1997,5.9908433,4.62297821044921,1.36786508955079,0.22832596698878604
Georgia,GEO,1998,6.14857483,4.73718786239624,1.41138696760376,0.2295470099375468
Georgia,GEO,1999,5.31023121,4.11215734481811,1.1980738651818905,0.22561613944901854
Georgia,GEO,2000,5.11560822,3.92862129211425,1.1869869278857506,0.2320324146882676
Georgia,GEO,2001,4.8910408,3.75054764747619,1.1404931525238098,0.23318005290894522
Georgia,GEO,2002,6.23925495,4.957848072052,1.2814068779480001,0.20537818829602403
Georgia,GEO,2003,6.17456818,4.99106216430664,1.18350601569336,0.19167429708312977
Georgia,GEO,2004,6.38783264,5.22238111495971,1.1654515250402904,0.18244866306332821
Georgia,GEO,2005,6.30294466,5.04329252243042,1.2596521375695797,0.19985137194106029
Georgia,GEO,2006,6.18611336,4.93896484375,1.2471485162500002,0.2016045364306095
Georgia,GEO,2007,6.10076809,4.78371810913085,1.3170499808691503,0.2158826497647037
Georgia,GEO,2008,6.59370518,5.15636587142944,1.43733930857056,0.21798659013907565
Georgia,GEO,2009,6.53593254,5.09173393249511,1.44419860750489,0.2209628998871047
Georgia,GEO,2010,6.49662638,5.0411353111267,1.4554910688733003,0.22403798275271913
Georgia,GEO,2011,6.73343372,5.20305156707763,1.5303821529223702,0.22728108964327495
Georgia,GEO,2012,7.2264924,5.65906953811645,1.56742286188355,0.2168995378565056
Georgia,GEO,2013,7.93266726,6.12295246124267,1.80971479875733,0.22813446466899082
Georgia,GEO,2014,8.28612995,6.53681707382202,1.7493128761779797,0.21111337702083466
Georgia,GEO,2015,8.36080933,6.60456228256225,1.7562470474377507,0.2100570624348577
Georgia,GEO,2016,8.42975807,6.66550827026367,1.76424979973633,0.2092883075749207
Georgia,GEO,2017,8.68992043,6.83027696609497,1.859643463905031,0.21400005660408916
Georgia,GEO,2018,8.511831279999999,6.87667083740234,1.635160442597659,0.1921044236907923
Georgia,GEO,2019,8.51918602,6.86859083175659,1.6505951882434093,0.19375034004051592
Georgia,GEO,2020,7.75128174,6.44294643402099,1.3083353059790097,0.16878954344123864
Georgia,GEO,2021,8.06223202,6.77664518356323,1.28558683643677,0.1594579309113917
Georgia,GEO,2022,8.94170666,7.5648136138916,1.3768930461083997,0.15398548604460705
Georgia,GEO,2023,10.1868658,8.4205846786499,1.766281121350099,0.1733880818720611
Georgia,GEO,2024,10.7140999,8.77147483825683,1.9426250617431702,0.18131481691179396
Germany,DEU,1991,57.9181519,49.400463104248,8.517688795752,0.14706423662237056
Germany,DEU,1992,58.8856201,50.6336441040039,8.251975995996098,0.14013567288554543
Germany,DEU,1993,59.0935631,50.7331161499023,8.360446950097696,0.14147813249896413
Germany,DEU,1994,57.804348,50.7546348571777,7.0497131428222986,0.12195818111852587
Germany,DEU,1995,58.2343025,51.0890083312988,7.145294168701199,0.12269905986598188
Germany,DEU,1996,59.0889854,51.5822792053222,7.506706194677797,0.1270407021522119
Germany,DEU,1997,58.0876999,50.8227653503418,7.2649345496582,0.12506838043449883
Germany,DEU,1998,60.0585556,52.3425025939941,7.7160530060059,0.12847550076622058
Germany,DEU,1999,61.748661,52.9879302978515,8.7607307021485,0.1418772579076411
Germany,DEU,2000,62.7943115,54.3733558654785,8.420955634521498,0.13410379751550422
Germany,DEU,2001,62.8216858,53.2177963256835,9.603889474316496,0.15287538613483842
Germany,DEU,2002,63.9871674,54.2290725708007,9.758094829199294,0.1525008095482485
Germany,DEU,2003,63.6279678,54.2419242858886,9.3860435141114,0.14751443176079873
Germany,DEU,2004,64.0978851,54.4150390625,9.6828460375,0.15106342467296163
Germany,DEU,2005,64.1628723,53.6578941345214,10.504978165478605,0.16372362690313358
Germany,DEU,2006,64.7514496,54.0760688781738,10.675380721826201,0.16486705375359195
Germany,DEU,2007,65.6304321,54.8582611083984,10.772170991601591,0.16413378134076909
Germany,DEU,2008,64.974556,54.8016281127929,10.17292788720711,0.15656787077093853
Germany,DEU,2009,65.4517593,55.5615348815918,9.89022441840821,0.1511070828986595
Germany,DEU,2010,65.7863159,55.923957824707,9.862358075293002,0.14991503841444026
Germany,DEU,2011,66.0726624,55.7228965759277,10.3497658240723,0.15664217920288165
Germany,DEU,2012,65.9544449,55.9000740051269,10.054370894873095,0.15244417431027601
Germany,DEU,2013,66.7451859,56.0977020263671,10.647483873632893,0.15952437213352483
Germany,DEU,2014,66.7213898,56.9747810363769,9.746608763623094,0.14607922276257942
Germany,DEU,2015,68.8257751,58.2619552612304,10.563819838769604,0.15348639115826831
Germany,DEU,2016,70.2544327,59.7837409973144,10.470691702685592,0.14903958797016367
Germany,DEU,2017,70.8621521,60.322467803955,10.539684296045003,0.148735029683709
Germany,DEU,2018,73.6159058,62.252685546875,11.363220253124993,0.1543582209529098
Germany,DEU,2019,74.7488556,62.9889221191406,11.759933480859402,0.15732593344023588
Germany,DEU,2020,78.1935883,65.8421173095703,12.351470990429704,0.1579601506844993
Germany,DEU,2021,77.8079224,65.056396484375,12.751525915624995,0.1638846729523393
Germany,DEU,2022,75.8395309,64.1773376464843,11.662193253515696,0.15377459637630347
Greece,GRC,1995,30.7674942,25.1278133392334,5.639680860766603,0.18329997315044924
Greece,GRC,2000,34.7137833,29.0992755889892,5.614507711010802,0.16173713082465435
Greece,GRC,2002,40.1811447,33.167251586914,7.013893113085999,0.17455682672689013
Greece,GRC,2003,39.3215027,33.7005195617675,5.6209831382325035,0.14294934710703472
Greece,GRC,2004,41.4423828,35.0172691345214,6.425113665478598,0.15503726454354835
Greece,GRC,2005,41.8964539,34.8489303588867,7.0475235411133,0.168212888802823
Greece,GRC,2006,42.2818642,35.2807846069335,7.0010795930665,0.16558114750925526
Greece,GRC,2007,43.5115585,36.9189224243164,6.5926360756836,0.15151459297151124
Greece,GRC,2008,44.210556,37.3617057800293,6.8488502199707,0.1549143652473111
Greece,GRC,2009,44.8818359,38.2050056457519,6.676830254248095,0.1487646420954027
Greece,GRC,2010,38.9107513,33.2041625976562,5.706588702343801,0.14665840446889034
Greece,GRC,2011,32.2874756,28.0516548156738,4.235820784326201,0.13119083191273712
Greece,GRC,2012,28.0277119,24.046043395996,3.9816685040039985,0.14206184644005843
Greece,GRC,2013,26.7688675,22.6367435455322,4.132123954467797,0.154363047090722
Greece,GRC,2014,26.6755676,22.6204242706298,4.0551433293702,0.15201713381237292
Greece,GRC,2015,27.111021,22.9123859405517,4.1986350594483,0.15486820136535248
Greece,GRC,2016,27.6818409,23.5217857360839,4.160055163916102,0.15028101559228677
Greece,GRC,2017,28.0972347,23.9709129333496,4.126321766650403,0.14685864323332867
Greece,GRC,2018,29.0706749,24.9144592285156,4.1562156714844,0.14296935608758088
Greece,GRC,2019,30.9059219,26.7089900970459,4.196931802954101,0.13579701057078322
Greece,GRC,2020,31.2613754,26.9260826110839,4.3352927889160995,0.13867888835486425
Greece,GRC,2021,33.3485413,28.681827545166,4.666713754833999,0.13993756766908422
Greece,GRC,2022,33.109127,27.8749256134033,5.234201386596702,0.1580893808102129
Greece,GRC,2023,34.2409248,28.9118061065673,5.329118693432701,0.15563594513173606
Guatemala,GTM,1986,5.4858036,3.20777344703674,2.2780301529632596,0.4152591523625198
Guatemala,GTM,1989,8.78978443,4.66223669052124,4.127547739478759,0.4695846379794276
Guatemala,GTM,1998,13.7312574,8.97352218627929,4.757735213720711,0.346489405531114
Guatemala,GTM,2000,17.5009556,10.1610984802246,7.339857119775401,0.41939750534395964
Guatemala,GTM,2006,18.0220375,10.5852336883544,7.4368038116456,0.4126505569442745
Guatemala,GTM,2014,13.9753542,9.1625165939331,4.8128376060669,0.34438036683656287
Guatemala,GTM,2023,12.5116558,8.73046016693115,3.781195633068849,0.30221384711277377
Guinea-Bissau,GNB,1991,4.92020273,2.93539929389953,1.9848034361004698,0.4033987103820964
Guinea-Bissau,GNB,1993,3.9990747,2.82819604873657,1.17087865126343,0.2927873918592793
Guinea-Bissau,GNB,2002,2.87196636,2.25800323486328,0.6139631251367201,0.21377796539953905
Guinea-Bissau,GNB,2010,2.87523961,1.75302135944366,1.1222182505563398,0.39030425382750616
Guinea-Bissau,GNB,2018,4.66242743,3.6729233264923,0.9895041035077003,0.21222938444914313
Guinea-Bissau,GNB,2021,4.30890656,3.44952130317688,0.8593852568231197,0.19944392965047722
Honduras,HND,1989,5.45189905,3.04069447517395,2.4112045748260496,0.4422687494233866
Honduras,HND,1990,5.14542866,2.87322115898132,2.27220750101868,0.4415973189333229
Honduras,HND,1991,5.91330767,3.62489247322082,2.28841519677918,0.38699410287562125
Honduras,HND,1992,6.56878901,3.94204878807067,2.62674022192933,0.3998819596626578
Honduras,HND,1993,7.86310005,4.61399126052856,3.24910878947144,0.41320964617147915
Honduras,HND,1994,7.95346022,4.53801250457763,3.4154477154223706,0.42942915673781673
Honduras,HND,1995,7.79285002,4.35631036758422,3.4365396524157807,0.440986242978635
Honduras,HND,1996,7.18204069,4.08883714675903,3.0932035432409704,0.4306858839644043
Honduras,HND,1997,8.67539787,5.29762268066406,3.3777751893359396,0.38935104071900506
Honduras,HND,1998,9.00373745,5.18910980224609,3.814627647753909,0.4236715773796702
Honduras,HND,1999,8.35484791,4.8981704711914,3.4566774388086,0.4137331374603802
Honduras,HND,2001,10.9426289,6.37252187728881,4.57010702271119,0.4176425120942546
Honduras,HND,2002,9.58972836,5.43436098098754,4.155367379012461,0.4333143988045622
Honduras,HND,2003,9.02933598,4.78073740005493,4.248598579945071,0.4705327821841746
Honduras,HND,2004,9.33368587,4.94768524169921,4.38600062830079,0.469910889373095
Honduras,HND,2005,10.1840496,5.29434823989868,4.88970136010132,0.48013330179591035
Honduras,HND,2006,11.1049414,6.18168878555297,4.92325261444703,0.4433389098700719
Honduras,HND,2007,12.0264101,6.67605066299438,5.350359437005619,0.4448841668059881
Honduras,HND,2008,12.4172325,7.18282270431518,5.234409795684821,0.4215439950637004
Honduras,HND,2009,12.202755,7.72438144683837,4.47837355316163,0.36699692431435604
Honduras,HND,2010,12.1055651,7.17228031158447,4.93328478841553,0.4075220568113363
Honduras,HND,2011,11.6392612,7.18298625946044,4.45627494053956,0.3828657905314093
Honduras,HND,2012,10.4077101,6.2801456451416,4.127564454858399,0.39658718538465054
Honduras,HND,2013,10.3906956,6.70669984817504,3.683995751824961,0.3545475580888887
Honduras,HND,2014,10.6187382,6.87627506256103,3.7424631374389694,0.35243953348797785
Honduras,HND,2015,10.5274944,6.90650844573974,3.6209859542602603,0.34395515368407703
Honduras,HND,2016,11.0577774,7.3395390510559,3.7182383489441007,0.33625548918574727
Honduras,HND,2017,10.8903446,7.23257827758789,3.657766322412111,0.33587241329462714
Honduras,HND,2018,10.8649302,7.23206520080566,3.6328649991943402,0.33436616087918725
Honduras,HND,2019,10.9623718,7.50292158126831,3.45945021873169,0.3155749760951996
Honduras,HND,2023,10.9557056,7.52232503890991,3.4333805610900896,0.3133874427120504
Honduras,HND,2024,11.5462236,8.35151481628418,3.1947087837158197,0.2766886294940469
India,IND,1977,3.18316889,2.6904137134552,0.49275517654479994,0.1548001986614037
India,IND,1983,3.40490127,2.97172999382019,0.4331712761798099,0.12721992264398607
India,IND,1987,3.42279482,2.94344282150268,0.4793519984973198,0.14004695686004334
India,IND,1993,3.55933428,3.07805800437927,0.48127627562073005,0.1352152503138115
India,IND,2004,3.7046473,3.11120724678039,0.5934400532196098,0.1601880031115539
India,IND,2009,4.17308569,3.51202011108398,0.6610655789160198,0.15841169533137955
India,IND,2011,4.64422178,3.85636830329895,0.7878534767010494,0.1696416566697746
India,IND,2022,6.35509253,5.53649520874023,0.8185973212597704,0.12880966207737818
